iteration,total_human_queries,auto_labels,auto_rate,graph_edges,augmentation,defender_changed,ensemble_std_mean,defender_id,defender_true_reward,round,defender_source
83,39,20,100.0,109,5.190476190476191,False,2.000951075553894,27.0,50.0,,
84,39,20,100.0,109,5.190476190476191,False,2.4533365607261657,27.0,50.0,,
85,39,20,100.0,109,5.190476190476191,False,2.174309587478638,27.0,50.0,,
86,39,20,100.0,109,5.190476190476191,False,2.047069728374481,27.0,50.0,,
87,39,20,100.0,109,5.190476190476191,False,2.4298862397670744,27.0,50.0,,
88,39,20,100.0,109,5.190476190476191,False,2.483626574277878,27.0,50.0,,
89,39,20,100.0,109,5.190476190476191,False,2.0799464762210844,27.0,50.0,,
90,39,20,100.0,109,5.190476190476191,False,2.054797166585922,27.0,50.0,,
91,39,20,100.0,109,5.190476190476191,False,2.227891969680786,27.0,50.0,,
92,39,20,100.0,109,5.190476190476191,False,2.0082616567611695,27.0,50.0,,
93,39,20,100.0,109,5.190476190476191,False,2.131619155406952,27.0,50.0,,
94,39,20,100.0,109,5.190476190476191,False,2.317531681060791,27.0,50.0,,
95,39,20,100.0,109,5.190476190476191,False,1.9421508014202118,27.0,50.0,,
96,39,20,100.0,109,5.190476190476191,False,2.136333441734314,27.0,50.0,,
97,39,20,100.0,109,5.190476190476191,False,2.557766020298004,27.0,50.0,,
98,39,20,100.0,109,5.190476190476191,False,2.1645091593265535,27.0,50.0,,
99,39,20,100.0,109,5.190476190476191,False,2.105174344778061,27.0,50.0,,
100,39,20,100.0,109,5.190476190476191,False,2.2911943018436434,27.0,50.0,,
6,10,20,100.0,86,8.6,False,0.6076209738850593,48.0,34.0,1.0,Entropy
7,10,20,100.0,90,9.0,False,0.6396925911307335,48.0,34.0,1.0,Entropy
8,10,20,100.0,96,9.6,False,0.6561159133911133,48.0,34.0,1.0,Entropy
9,10,20,100.0,99,9.9,False,0.6431050732731819,48.0,34.0,1.0,Entropy
10,10,20,100.0,99,9.9,False,0.6486827179789543,48.0,34.0,1.0,Entropy
11,11,17,85.0,191,17.363636363636363,True,1.3385705262422563,23.0,35.0,1.0,Entropy
12,12,19,95.0,290,24.166666666666668,True,1.222635492682457,29.0,36.0,1.0,Entropy
13,13,18,90.0,299,23.0,False,1.3564975708723068,29.0,36.0,1.0,Entropy
14,14,19,95.0,302,23.23076923076923,False,1.1938842207193374,29.0,36.0,1.0,Entropy
15,14,20,100.0,305,23.46153846153846,False,1.2255711168050767,29.0,36.0,1.0,Entropy
16,15,18,90.0,311,22.214285714285715,False,1.2840362995862962,29.0,36.0,1.0,Entropy
17,15,20,100.0,311,22.214285714285715,False,1.2300361096858978,29.0,36.0,1.0,Entropy
18,16,19,95.0,311,22.214285714285715,False,1.3116816520690917,29.0,36.0,1.0,Entropy
19,16,20,100.0,311,22.214285714285715,False,1.201439806818962,29.0,36.0,1.0,Entropy
20,16,20,100.0,311,22.214285714285715,False,1.1510197788476944,29.0,36.0,1.0,Entropy
1,17,19,95.0,317,22.642857142857142,False,0.6386611565947533,48.0,34.0,2.0,Entropy
2,18,18,90.0,326,23.285714285714285,False,0.7149239271879196,48.0,34.0,2.0,Entropy
3,18,20,100.0,329,23.5,False,0.6944961667060852,48.0,34.0,2.0,Entropy
4,18,20,100.0,344,24.571428571428573,False,0.5718901656568051,48.0,34.0,2.0,Entropy
5,19,19,95.0,350,25.0,True,0.801864105463028,29.0,36.0,2.0,Entropy
6,20,19,95.0,350,25.0,False,0.6862927198410034,29.0,36.0,2.0,Entropy
7,20,20,100.0,356,25.428571428571427,False,0.6001680836081504,29.0,36.0,2.0,Entropy
8,20,20,100.0,359,25.642857142857142,False,0.7512927278876305,29.0,36.0,2.0,Entropy
9,20,20,100.0,362,25.857142857142858,False,0.6832665100693702,29.0,36.0,2.0,Entropy
10,21,0,95.0,362,25.857142857142858,False,0.8085675597190857,29.0,36.0,2.0,Entropy
11,21,20,100.0,365,26.071428571428573,False,0.4312124252319336,29.0,36.0,2.0,Entropy
12,21,20,100.0,368,26.285714285714285,False,0.4506033696234226,29.0,36.0,2.0,Entropy
13,21,20,100.0,368,26.285714285714285,False,0.4098052129149437,29.0,36.0,2.0,Entropy
14,21,20,100.0,368,26.285714285714285,False,0.42253766357898714,29.0,36.0,2.0,Entropy
15,21,20,100.0,368,26.285714285714285,False,0.45263599678874017,29.0,36.0,2.0,Entropy
16,21,20,100.0,368,26.285714285714285,False,0.4602323606610298,29.0,36.0,2.0,Entropy
17,21,20,100.0,368,26.285714285714285,False,0.4034170687198639,29.0,36.0,2.0,Entropy
18,21,20,100.0,368,26.285714285714285,False,0.4094239749014378,29.0,36.0,2.0,Entropy
19,21,20,100.0,368,26.285714285714285,False,0.44478426352143285,29.0,36.0,2.0,Entropy
20,21,20,100.0,371,26.5,False,0.40698717162013054,29.0,36.0,2.0,Entropy
1,21,20,100.0,392,28.0,False,0.04293770380318165,123.0,83.0,3.0,SAC
2,21,20,100.0,497,35.5,False,0.053899954073131084,123.0,83.0,3.0,SAC
3,21,20,100.0,498,35.57142857142857,False,0.03525377968326211,123.0,83.0,3.0,SAC
4,21,20,100.0,500,35.714285714285715,False,0.03658201135694981,123.0,83.0,3.0,SAC
5,21,20,100.0,503,35.92857142857143,False,0.046369384881109,123.0,83.0,3.0,SAC
6,21,20,100.0,503,35.92857142857143,False,0.04372298633679748,123.0,83.0,3.0,SAC
7,21,20,100.0,504,36.0,False,0.04251425862312317,123.0,83.0,3.0,SAC
8,21,20,100.0,505,36.07142857142857,False,0.03812892716377973,123.0,83.0,3.0,SAC
9,21,20,100.0,506,36.142857142857146,False,0.046080434788018466,123.0,83.0,3.0,SAC
10,21,20,100.0,506,36.142857142857146,False,0.02786983419209719,123.0,83.0,3.0,SAC
11,21,20,100.0,506,36.142857142857146,False,0.034773968532681464,123.0,83.0,3.0,SAC
12,21,20,100.0,506,36.142857142857146,False,0.024639748223125934,123.0,83.0,3.0,SAC
13,21,20,100.0,507,36.214285714285715,False,0.029210331896319986,123.0,83.0,3.0,SAC
14,21,20,100.0,507,36.214285714285715,False,0.036671743262559175,123.0,83.0,3.0,SAC
15,21,20,100.0,507,36.214285714285715,False,0.033376004360616204,123.0,83.0,3.0,SAC
16,21,20,100.0,507,36.214285714285715,False,0.03790850816294551,123.0,83.0,3.0,SAC
17,21,20,100.0,508,36.285714285714285,False,0.03572280434891582,123.0,83.0,3.0,SAC
18,21,20,100.0,508,36.285714285714285,False,0.027517946995794774,123.0,83.0,3.0,SAC
19,21,20,100.0,508,36.285714285714285,False,0.03606523214839399,123.0,83.0,3.0,SAC
20,21,20,100.0,508,36.285714285714285,False,0.03376346984878183,123.0,83.0,3.0,SAC
1,21,20,100.0,511,36.5,False,0.10275281388312578,123.0,83.0,4.0,SAC
2,21,20,100.0,512,36.57142857142857,False,0.09589075613766909,123.0,83.0,4.0,SAC
3,21,20,100.0,515,36.785714285714285,False,0.12470283173024654,123.0,83.0,4.0,SAC
4,22,19,95.0,516,36.857142857142854,False,0.12607413455843924,123.0,83.0,4.0,SAC
5,22,20,100.0,518,37.0,False,0.11956461872905493,123.0,83.0,4.0,SAC
6,22,20,100.0,521,37.214285714285715,False,0.12126333341002464,123.0,83.0,4.0,SAC
7,22,20,100.0,523,37.357142857142854,False,0.07361683920025826,123.0,83.0,4.0,SAC
8,22,20,100.0,523,37.357142857142854,False,0.07227018736302852,123.0,83.0,4.0,SAC
9,23,19,95.0,523,37.357142857142854,False,0.13503217361867428,123.0,83.0,4.0,SAC
10,23,20,100.0,524,37.42857142857143,False,0.10576576255261898,123.0,83.0,4.0,SAC
11,23,20,100.0,524,37.42857142857143,False,0.13983549997210504,123.0,83.0,4.0,SAC
12,24,19,95.0,525,37.5,False,0.20631359443068503,123.0,83.0,4.0,SAC
13,24,20,100.0,525,37.5,False,0.13564902506768703,123.0,83.0,4.0,SAC
14,25,19,95.0,526,37.57142857142857,False,0.19606496654450895,123.0,83.0,4.0,SAC
15,25,20,100.0,526,37.57142857142857,False,0.2644870888441801,123.0,83.0,4.0,SAC
16,25,20,100.0,526,37.57142857142857,False,0.17649898789823054,123.0,83.0,4.0,SAC
17,25,20,100.0,528,37.714285714285715,False,0.2541162807494402,123.0,83.0,4.0,SAC
18,25,20,100.0,528,37.714285714285715,False,0.164168493822217,123.0,83.0,4.0,SAC
19,26,19,95.0,528,37.714285714285715,False,0.1946724656969309,123.0,83.0,4.0,SAC
20,26,20,100.0,528,37.714285714285715,False,0.23160263560712338,123.0,83.0,4.0,SAC
1,27,19,95.0,548,36.53333333333333,False,0.23913877159357072,159.0,86.0,5.0,SAC
2,27,20,100.0,565,37.666666666666664,False,0.25075352713465693,159.0,86.0,5.0,SAC
3,28,18,90.0,666,41.625,False,0.3839501850306988,159.0,86.0,5.0,SAC
4,28,20,100.0,668,41.75,False,0.23845349326729776,159.0,86.0,5.0,SAC
5,29,19,95.0,671,39.470588235294116,False,0.3156402166932821,159.0,86.0,5.0,SAC
6,30,19,95.0,697,38.72222222222222,False,0.2794360287487507,159.0,86.0,5.0,SAC
7,31,0,95.0,697,38.72222222222222,False,0.23640033341944217,159.0,86.0,5.0,SAC
8,32,18,90.0,698,36.73684210526316,False,0.39897830635309217,159.0,86.0,5.0,SAC
9,32,20,100.0,700,36.8421052631579,False,0.292414939776063,159.0,86.0,5.0,SAC
10,33,19,95.0,700,36.8421052631579,False,0.28217495158314704,159.0,86.0,5.0,SAC
11,33,20,100.0,701,36.89473684210526,False,0.1804365035146475,159.0,86.0,5.0,SAC
12,34,0,90.0,701,36.89473684210526,False,0.2614487335085869,159.0,86.0,5.0,SAC
13,35,19,95.0,701,36.89473684210526,False,0.2375132918357849,159.0,86.0,5.0,SAC
14,35,20,100.0,701,36.89473684210526,False,0.28477039784193037,159.0,86.0,5.0,SAC
15,35,20,100.0,701,36.89473684210526,False,0.28661155998706817,159.0,86.0,5.0,SAC
16,35,20,100.0,701,36.89473684210526,False,0.25715257935225966,159.0,86.0,5.0,SAC
17,35,20,100.0,701,36.89473684210526,False,0.20928172618150712,159.0,86.0,5.0,SAC
18,35,20,100.0,701,36.89473684210526,False,0.1884149957448244,159.0,86.0,5.0,SAC
19,35,20,100.0,702,36.94736842105263,False,0.16938936859369277,159.0,86.0,5.0,SAC
20,35,20,100.0,702,36.94736842105263,False,0.2534702230244875,159.0,86.0,5.0,SAC
1,6,1,11.11111111111111,13,2.1666666666666665,False,5.094003624386257,9.0,26.0,1.0,Entropy
2,7,1,12.5,13,2.1666666666666665,False,5.142401695251465,9.0,26.0,1.0,Entropy
3,8,1,14.285714285714285,13,2.1666666666666665,False,5.188717637743268,9.0,26.0,1.0,Entropy
4,9,1,16.666666666666664,14,2.0,False,5.261194070180257,9.0,26.0,1.0,Entropy
5,10,1,20.0,15,1.875,False,5.068368053436279,9.0,26.0,1.0,Entropy
