round,defender_id,defender_source,defender_true_reward,defender_changes,SAC_Wins,Entropy_Wins,SAC_Auto,Entropy_Auto,SAC_Query,Entropy_Query
2,29,Entropy,36.0,1,0,1,33,361,0,5
3,123,SAC,83.0,0,0,0,55,345,0,0
4,123,SAC,83.0,0,0,0,69,326,5,0
5,159,SAC,86.0,0,0,0,68,320,9,0
1,9,Entropy,26.0,0,0,0,0,5,0,5
