round,iteration,correlation
,20,0.9942117767714626
,40,0.9963763614406678
,80,0.9967732019633554
,100,0.9968152911097009
1.0,14,0.9972479382505809
1.0,24,0.9972479382505809
2.0,34,0.9985820597896027
3.0,42,0.9992184047363002
5.0,52,0.9999983807423071
5.0,60,1.0
1.0,10,0.978318171119925
1.0,16,0.9957756559163773
3.0,21,0.996701285876299
4.0,23,0.9975386340192274
4.0,26,0.9975545681896849
5.0,33,0.9985889846155186
5.0,35,0.9991821068813128
0.0,0,0.8816806132678187
