round,iteration,correlation
0,0,0.9870513970080517
1,10,0.9952391924080415
1,10,0.9952391924080415
2,10,0.9954528885014693
2,10,0.9954528885014693
3,14,0.9963974897076352
3,15,0.9964264315495819
4,16,0.9984556965662503
4,16,1.0
5,16,0.9999999999999999
5,16,0.9999999999999999
