round,step,avg_reward
1,2000,283.2
1,4000,9.6
1,6000,9.6
1,8000,8.6
1,10000,9.6
1,12000,9.2
1,14000,9.4
1,16000,9.6
1,18000,9.6
1,20000,9.4
2,2000,18.2
2,4000,114.8
2,6000,63.2
2,8000,47.8
2,10000,36.2
2,12000,37.2
2,14000,35.6
2,16000,27.4
2,18000,66.0
2,20000,85.4
3,2000,500.0
3,4000,434.8
3,6000,331.2
3,8000,195.4
3,10000,500.0
3,12000,500.0
3,14000,500.0
3,16000,500.0
3,18000,500.0
3,20000,349.0
